num,id,created_at,text,fav,RT,,time,time,,,,RT/fav,,,,,,,,,
29,1.25331E+18,2020/4/23 13:21,リグマありでしたｱｱｱｱｱｱｱ(おそい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/deyaX8bnsb,17,0,,13:21,43944.55638,0.556377315,13.35305556,,0,1,,favに対するRTが多い投稿：,77,1.24857E+18,2020/4/10 11:00,?ヘッダー企画?・SFMでヘッダーつくります・フォロー＆リツイートで応募完了！・当選枠はおひとり・4/12 23:59まで期間短いですがよろしくお願いしまああああすSFM art raffle!! just fol… https://t.co/TQGsfxwkTO,327,295
30,1.25326E+18,2020/4/23 9:44,知る努力をせずに人に聞くことは実験結果しか書いていないレポートと等価,8,0,,9:44,43944.40586,0.405856481,9.740555556,,0,1,,RTに対するfavが多い投稿：,48,1.25178E+18,2020/4/19 8:00,テキストアニメーション#c4d #3DCG https://t.co/4LvH21Z1ga,73,2
31,1.25326E+18,2020/4/23 9:39,学校のお金で3Dプリンタ動かす快感と人のお金で焼き肉食べる快感等価説がある,11,0,,9:39,43944.40222,0.402222222,9.653333333,,0,1,,(↑なお、RT数が0のツイートは除去）,,,,,,
32,1.25326E+18,2020/4/23 9:37,バイト行ってる間にレンダリングしようと思って設定したらパソコンの電源抜けててできてませんでしたちぃさんです,12,0,,9:37,43944.40073,0.400729167,9.6175,,0,1,,,,,,,,
33,1.2532E+18,2020/4/23 6:10,ハイドラの映像作ろうとしてたのに先にスパッタリ―ができそうだ,19,0,,6:10,43944.25742,0.257418981,6.178055556,,0,1,,考察2,,,,,,
34,1.25292E+18,2020/4/22 11:00,きっと美しい____#3DCG #c4d #Splatoon2 https://t.co/hagyi4cbzu,170,18,,11:00,43943.45833,0.458333333,11,,0.105882353,0.105882353,,・favに対するRTの割合が高いツイートは企画だった。まあ予想通りです。,,,,,,
35,1.25288E+18,2020/4/22 8:49,無題.png#c4d https://t.co/KJQFx0thjY,82,3,,8:49,43943.36758,0.367581019,8.821944444,,0.036585366,0.036585366,,・RTに対するfavが多いツイートはc4dで作ったテキストアニメーションだった。CRASHのやつ。ふつうに好きなアニメーション。,,,,,,
36,1.25284E+18,2020/4/22 5:47,#フェス復活したのでスプラ絵描き繋がろうぜ3DCGでいろいろ作っとります！絵師じゃなくてごめんな！巡回する！ https://t.co/0PnwZJmZP0,251,42,,5:47,43943.24105,0.241053241,5.785277778,,0.167330677,0.167330677,,,,,,,,
37,1.25283E+18,2020/4/22 5:23,ふぇすっっっっ....！,25,0,,5:23,43943.22487,0.224872685,5.396944444,,0,1,,,,,,,,
38,1.25258E+18,2020/4/21 12:48,むっちゃ！プログラミング勉強したい気分！やけど微積もしたい気分！！！どうしよ！！！！！物理やるか！！！！,11,0,,12:48,43942.53377,0.533773148,12.81055556,,0,1,,,,,,,,
39,1.25258E+18,2020/4/21 12:41,オイラーの公式初めて見たのは小学生の時で何となく数式が美しいのはわかった本読んでも何も理解できなかったけどはっはっは,13,0,,12:41,43942.5288,0.528796296,12.69111111,,0,1,,,,,,,,
40,1.25258E+18,2020/4/21 12:39,繋がりたいタグをやってみたいけど今私はどのタグでつながればいいんだ,5,0,,12:39,43942.52747,0.527465278,12.65916667,,0,1,,,,,,,,
41,1.25258E+18,2020/4/21 12:28,surface に外付けGPUは無理でした対戦ありがとうございました,5,0,,12:28,43942.5201,0.520104167,12.4825,,0,1,,,,,,,,
42,1.25257E+18,2020/4/21 12:27,"BRAIN DS 1　って感じやしIN BRAIN, LENGTHOUT NOP って感じ",3,0,,12:27,43942.51931,0.519305556,12.46333333,,0,1,,,,,,,,
43,1.25252E+18,2020/4/21 8:34,GPUを自分の頭にぶちこみたい,15,0,,8:34,43942.35749,0.357488426,8.579722222,,0,1,,,,,,,,
44,1.25249E+18,2020/4/21 6:47,COLLECT#c4d #3DCG https://t.co/geqLyOQ0Ow,47,3,,6:47,43942.28279,0.282789352,6.786944445,,0.063829787,0.063829787,,,,,,,,
45,1.25219E+18,2020/4/20 11:00,#stayhome https://t.co/Idn9HE7lHX,568,109,,11:00,43941.45833,0.458333333,11,,0.191901408,0.191901408,,,,,,,,
46,1.25183E+18,2020/4/19 11:00,?スパッタリ―?モデリングしました！見てー！?#3DCG #Splatoon2 #blender #DappleDualies https://t.co/wLY4EnE44o,1652,337,,11:00,43940.45882,0.458819444,11.01166667,,0.203995157,0.203995157,,,,,,,,
47,1.25181E+18,2020/4/19 9:55,スパッタリ―の！テクスチャ設定！むっっっっっっちゃめんどくさかったけど！！！！やっと！！！！できたよ！！！！！！！れ！！！！！！！！！,27,0,,9:55,43940.41362,0.413622685,9.926944444,,0,1,,,,,,,,
48,1.25178E+18,2020/4/19 8:00,テキストアニメーション#c4d #3DCG https://t.co/4LvH21Z1ga,73,2,,8:00,43940.33383,0.333831019,8.011944445,,0.02739726,0.02739726,,,,,,,,
49,1.25176E+18,2020/4/19 6:36,"EDMか洋楽、ジャズのジャンルでおすすめの曲（出来たらプレイリスト）のリンク（Apple music, LINE music, Amazon music）貼ってくれませんか...",8,0,,6:36,43940.27502,0.275023148,6.600555556,,0,1,,,,,,,,
50,1.25146E+18,2020/4/18 10:33,かいてんずし（動きます）#3DCG #Splatoon2 #blender https://t.co/xhKFwRQEYJ,675,110,,10:33,43939.44002,0.440023148,10.56055556,,0.162962963,0.162962963,,,,,,,,
